,calls,clauses,epochs,ind_vars,models,samples,time,time*,tu/tq,ug_samples,valid,vars
mb93093,37.0,3083.0,0.0,0.0,4332531790101400733678140100313740255389645340587691404685296193283792393028662296975599093186050195287673219083720127852476571600,520400.0,27.9,1016.6,0.0,0.0,0.86,1230.0
npwr,37.0,3822.0,0.0,0.0,12547992763780082988343449894599960201701914022413839732438024463275550983233123951231086527743337190837565267874180812175376000,526926.0,33.1,1210.3,0.0,0.0,0.705,1258.0
olpcl2294,36.0,3878.0,0.0,0.0,20176980046009325699976231925656659773125711065309355831205001219158035365287069653622362342370942885261516709488458195138512400,506212.0,41.1,1480.1,0.0,0.0,0.568,1273.0
h8s_sim,35.0,3003.0,0.0,0.0,126024469283361873384607583754956414503940294936791222380108890012274328010073888669496725421228478394457674641589608400,586233.0,31.8,1094.7,0.0,0.0,0.674,1183.0
pid,37.0,3778.0,0.0,0.0,10312241264264360316882630439493993517498378640392427414337626661277726747904551971555244151264785339622272714045007624347600,554645.0,35.2,1233.2,0.0,0.0,0.649,1229.0
am31_sim,35.0,2968.0,0.0,0.0,31506117330638209963044978072983956210771703423518162467137502207143887426026525283299774751701910447997211646995406800,586386.0,29.6,1061.3,0.0,0.0,0.712,1165.0
nano,38.0,3870.0,0.0,0.0,50304240823837766789522624609121528712034240476247190286248384341434069554186340656230554598764419278244487613647638840646567440,517977.0,31.9,1176.6,0.0,0.0,0.728,1265.0
grg,39.0,3792.0,0.0,0.0,1419430343248339822417295250140094576599180224083385080774798007253424972865348983863162216759638328212829690870015991949270800,568628.0,28.7,1073.6,0.0,0.0,0.788,1241.0
eb40,39.0,3816.0,0.0,0.0,25147921194104289081422785250166499903471452406970580431744330836041112805102287373083319107327856107961979016363631373714960,572203.0,27.5,1006.4,0.0,0.0,0.824,1240.0
asb,38.0,3081.0,0.0,0.0,208624558379411103767821804583904842978313689091761159356391529720268946501738751047094209591166794144888724214609887754772226000,584896.0,28.3,1054.9,0.0,0.0,0.779,1231.0
uE250,39.0,3810.0,0.0,0.0,294243390848432054273307002116604851898139542151276318568830718596820582052211256235699890417319171636987618128906475838726000,577611.0,30.0,1082.3,0.0,0.0,0.767,1249.0
sh7708,36.0,49851.0,0.0,0.0,427966233130787603177977203541735802789609777996535061044385168721588446957012745550272962437481089567409828438998498238320,543331.0,36.3,2152.6,0.0,0.0,0.747,1253.0
flexanet,37.0,3883.0,0.0,0.0,3278903894837647385383025677048145143840742819779931931097147363211382413035553777636816295359193776074133611545850241774257680,559226.0,42.5,1519.1,0.0,0.0,0.55,1265.0
csb281,37.0,3114.0,0.0,0.0,409125153349147166078003587698894318744154556692926303919215694654936392041613417034981412168828692055924380207887059286171600,538470.0,32.2,1178.8,0.0,0.0,0.702,1233.0
ceb_v850,36.0,3025.0,0.0,0.0,6253411394241085775498833120884467456215678095847833125578951314770850376267882475986540156606268721484028334395757109200,568627.0,32.0,1134.9,0.0,0.0,0.686,1189.0
cerfpda,39.0,3940.0,0.0,0.0,256547273025572488315926151041988422027709304388101327932836847906537071817853686673596627191897252907566795338336067036803761680,561925.0,29.5,1086.3,0.0,0.0,0.804,1291.0
malta_mips64_5kc,35.0,3212.0,0.0,0.0,1809434874174797658787081388675821787630281759863191364036678533967714862466245282235573358214336838794045209802388910772789200,524171.0,31.6,1196.3,0.0,0.0,0.733,1232.0
viper,37.0,3230.0,0.0,0.0,57910688455926457672750694460622375839316668427856931989122071194909834270210779998660686674085019401545289770431395795190386135605200,553736.0,33.9,1303.6,0.0,0.0,0.707,1301.0
pc_i82559,37.0,3179.0,0.0,0.0,18367814290425503114723451651257356017633017579421835008043105119613367523180219552613565893879479893504723853951616378459430800,557931.0,32.6,1191.4,0.0,0.0,0.714,1259.0
lpcmt,37.0,3824.0,0.0,0.0,37128091317744599575402179011383874999037121164929894272124153053569906046091105256246897401347676166648033913021227632428560,577051.0,32.7,1194.7,0.0,0.0,0.693,1249.0
stm3210e_eval,35.0,3200.0,0.0,0.0,4912757308146160349314301146591062782855509161602264722534572884723063790968509380276050874186818212113782280182394229350320,615453.0,33.9,1282.4,0.0,0.0,0.669,1269.0
frv400,37.0,3096.0,0.0,0.0,34911778303359100285360688620357619830279966747242278979070550725814274146100298285982189048978556317924242065593738567768425832400,601077.0,26.9,1035.6,0.0,0.0,0.811,1238.0
pati,41.0,3266.0,0.0,0.0,7901505627733039911417502588183195931419743370986593956111576213702116855966805459012822245118008186717339802422502437673492400,543809.0,26.8,1019.4,0.0,0.0,0.879,1248.0
ea2468,40.0,4138.0,0.0,0.0,59212636521270833269392654626765324549368402416608498439639685411641939593601250853184123930058512202078264031660452265851723014000,592094.0,35.9,1295.0,0.0,0.0,0.712,1395.0
mb93091,37.0,3131.0,0.0,0.0,168738006742295428464037249248962270867239429619158688172656999735993668979674898779104633521919647327019455917082364828803037339600,622184.0,27.6,1078.3,0.0,0.0,0.781,1250.0
excalibur_arm9,38.0,50538.0,0.0,0.0,19150281629676577593982414815761151908593011352995872799135653116129514675546367915329225109946024878038324276735278348443600,566744.0,35.3,2220.7,0.0,0.0,0.731,1233.0
linux,35.0,3154.0,0.0,0.0,113408517334498827556903076632618806035325645712020896943810574666826850166370753409496068270909270496106320040206766989040,605514.0,37.4,1349.5,0.0,0.0,0.597,1232.0
gps4020,36.0,3743.0,0.0,0.0,176978816646430128262454465706862515473051926603740449700234662393365537984535133150467986537796846439544132275118255054800,510253.0,36.8,1286.7,0.0,0.0,0.604,1213.0
cme555,39.0,3167.0,0.0,0.0,13243342091091349013740456510305446812601566693292052188340222569008436541387491653746527129270479550058061198134769253084025450127280,509158.0,34.7,1243.7,0.0,0.0,0.698,1266.0
sam7ex256,38.0,3989.0,0.0,0.0,944851128754377944722173411804677661023530935654438424344672651367814009925738975686878368133920363477224489048817708604038128340000,613766.0,36.3,1387.9,0.0,0.0,0.649,1332.0
vrc4375,35.0,3129.0,0.0,0.0,33084332701652779739056962443299195208377931760321846622813031806897827517928527319496695947071914974125113341957999449718510876827600,501572.0,32.4,1280.6,0.0,0.0,0.728,1258.0
sa1100mm,38.0,3760.0,0.0,0.0,209616202899905496853626962912592929821056931944211378341387591523954569910853045135569713283511470426325077831260338331600,521726.0,35.2,1241.9,0.0,0.0,0.753,1222.0
sparc_erc32,34.0,2972.0,0.0,0.0,31506117330638209963044978072983956210771703423518162467137502207143887426026525283299774751701910447997211646995406800,606018.0,45.4,1612.7,0.0,0.0,0.558,1168.0
phycore229x,39.0,4026.0,0.0,0.0,17690241291695326522257789817466990270511110167732440205850532019265621118320902296911567073878924836323606003183874302922311817581561360,513660.0,42.6,1511.7,0.0,0.0,0.728,1360.0
ipaq,38.0,3868.0,0.0,0.0,3328813627920019383959856170288130161924184697654751732757189391239053364942273089107412317775334096958900733327687174587920,575738.0,35.7,1292.8,0.0,0.0,0.766,1258.0
snds,35.0,3748.0,0.0,0.0,2132753886641161637442056726002509257732448309716581139627033004749985075484735975175576930642228162150909202387061523816400,504228.0,54.0,1763.6,0.0,0.0,0.526,1218.0
fads,37.0,3008.0,0.0,0.0,22498149826383106835910071563956647969836633022087683013493060821513866247531333920741376536082522442413501037034161512400,514802.0,29.4,1008.9,0.0,0.0,0.766,1187.0
olpce2294,37.0,3881.0,0.0,0.0,8187965460549119231483396615787248158155368266800312424131065943440817252513126522783934300430301226732870028793150127339472400,596183.0,43.5,1792.3,0.0,0.0,0.654,1274.0
edb7xxx,37.0,3812.0,0.0,0.0,478426496527527699866411782554016237250999711266131198240638284095447468947587294033608856796773329665851331156824514551554000,605852.0,48.1,1801.2,0.0,0.0,0.646,1246.0
cerf,38.0,3910.0,0.0,0.0,13517380849035549984133433855441897389024065422096840375648325003913735936262208497370841560707920219740803238286737754714801680,509585.0,37.9,1449.4,0.0,0.0,0.692,1276.0
pc_usb_d12,37.0,3231.0,0.0,0.0,724452282191257697925950255124676789700121100521243776612492564151679325233456347634342026774701911898210973883682402307363995200,603130.0,39.5,1446.4,0.0,0.0,0.732,1281.0
rattler,37.0,3245.0,0.0,0.0,36341626046422703236831871790118932415798304939773441134257593815342372005014801142991753639770339443168932617021526200331411648968859600,581475.0,42.5,1470.2,0.0,0.0,0.699,1311.0
ocelot,34.0,3141.0,0.0,0.0,122441612328434146014271827087725216118314573136837313901043927002510603381677819088486712277009703791662454004124699022669165341646800,514910.0,40.7,1465.8,0.0,0.0,0.632,1266.0
sparc_leon,34.0,2972.0,0.0,0.0,31506117330638209963044978072983956210771703423518162467137502207143887426026525283299774751701910447997211646995406800,513543.0,37.4,1265.0,0.0,0.0,0.619,1168.0
h8max,35.0,3072.0,0.0,0.0,10588503140580352230926076592226742459237633650583869306140944613374558394550413165812316262700935576476203163298719860240,549890.0,35.0,1197.6,0.0,0.0,0.683,1202.0
calm16_ceb,34.0,2990.0,0.0,0.0,77674052529377392824747553600935813078433450659822055905519707522967392202246841496570076051609082173630985952799694800,568229.0,40.7,1442.7,0.0,0.0,0.592,1173.0
eb42,39.0,3779.0,0.0,0.0,10778928877792452073414800187504526535761802837949843158387276285440959828367094357964748747967231470914611531681461362434000,558709.0,30.0,1110.0,0.0,0.0,0.851,1234.0
atlas_mips64_5kc,35.0,3066.0,0.0,0.0,1205470172356025104091225414499057876161751291400577044446204675273807613594372971288133343686292224181967372709277287784400,538049.0,34.5,1251.4,0.0,0.0,0.735,1209.0
skmb91302,38.0,3052.0,0.0,0.0,104312279024946648529579719389894914749805492806872926786255139150569324938023942426100590625779291362117549733753132119206862800,613275.0,29.8,1093.6,0.0,0.0,0.883,1217.0
mace1,36.0,3770.0,0.0,0.0,656138321259525538341752693748935312699763422251791867946687820763865319989865255405956422922846320061568854804405062352800,505954.0,44.0,1500.7,0.0,0.0,0.631,1234.0
asb2305,35.0,3101.0,0.0,0.0,417249116727316090205005399204764707883643421972750615289264896973400390796333614668161893899033813538075537981222563862549045200,513198.0,45.9,1618.0,0.0,0.0,0.593,1242.0
hs7729pci,36.0,49911.0,0.0,0.0,3313750866449934157711102362307707370730013504181374498671821304927844522358210222283687281791452902987656603872069222909733800425680,517514.0,46.7,2860.2,0.0,0.0,0.732,1298.0
e7t,36.0,3816.0,0.0,0.0,119421541019806147825183596924748089633987033266919933380102984983069458246702346871860005508038038104228992809536990926956809399246800,518381.0,51.0,1854.4,0.0,0.0,0.561,1266.0
phycore,37.0,3852.0,0.0,0.0,32396704602647204579105770930681366361382204874293719652382487586910643207547033036249261219805630738357204504951593519643843764422160,576664.0,44.8,1675.3,0.0,0.0,0.665,1274.0
innovator,37.0,50452.0,0.0,0.0,2273145273507107056962066084852614399147351244695680545974036427308723521009155401246295718557035373854925705734955987869924620443600,625146.0,50.5,3581.2,0.0,0.0,0.634,1256.0
aeb,37.0,3767.0,0.0,0.0,62158656929883822819223168371063334073112422574166716896263360452573809665338057776443957907814576080520402364611609757200,517002.0,30.6,1088.7,0.0,0.0,0.736,1213.0
h8300h_sim,35.0,3001.0,0.0,0.0,126024469283361873384607583754956414503940294936791222380108890012274328010073888669496725421228478394457674641589608400,539056.0,31.2,1113.9,0.0,0.0,0.685,1182.0
adder,37.0,3201.0,0.0,0.0,98826262955116540654594658579507080173060213668622411355372612317123327888583768001824579847667155986221756840403183315918800,604929.0,34.4,1301.1,0.0,0.0,0.648,1272.0
cq7750,36.0,3173.0,0.0,0.0,2518121474204249998829150709974012764071762486950219669883634416585276298253070152359575299071609704599530362962861509907504898000,587374.0,31.8,1132.8,0.0,0.0,0.721,1267.0
ixdp425,37.0,3799.0,0.0,0.0,5961867833919365735034150862406148213485309229287867507440217575407752384139068980981149214343329000701690538879366080912138000,558076.0,33.7,1196.5,0.0,0.0,0.679,1247.0
mbx,38.0,3218.0,0.0,0.0,30860278645716549050008348639103305320703930725029295269037490742849701684856040114654709023248139647629277763023893050741496930050000,566315.0,30.1,1149.1,0.0,0.0,0.779,1295.0
